DAP,Reaction,Active_In,Flux_Value
15,MR00684[K,p],WT_only,0.04389526
15,MR00687[K,p],WT_only,0.04389526
15,MR00856[K,c],WT_only,0.00304182
15,MR01127[K,p],WT_only,0.00003457
15,MR01129[K,p],WT_only,0.00003457
15,MR01141[K,c],WT_only,-0.00000005
15,MR01162[K,c],WT_only,-0.00000003
15,MR01164[K,c],WT_only,0.02187667
15,MR01169[K,c],WT_only,-0.00000005
15,MR01237[K,c],WT_only,0.00000001
15,MR01238[K,c],WT_only,-0.00000003
15,MR01241[K,c],WT_only,0.00000089
15,MR01241[K,p],WT_only,-0.00000089
15,MR01245[K,p],WT_only,-0.00000060
15,MR01285[K,p],WT_only,0.00000032
15,MR01286[K,p],WT_only,-0.00000060
15,MR01290[K,p],WT_only,-0.00000060
15,PhloemImport_C00035_I[K,c],WT_only,0.00000264
15,PhloemImport_C00037[K,c],WT_only,0.00002516
15,PhloemImport_C00063_I[K,c],WT_only,0.00000251
15,PhloemImport_C00064[K,c],WT_only,0.00039749
15,PhloemImport_C00065[K,c],WT_only,0.02187814
15,PhloemImport_C00075_I[K,c],WT_only,0.00000179
15,PhloemImport_C00137_I[K,c],WT_only,0.00059245
15,PhloemTransport_C00035[K,c],WT_only,0.00000264
15,PhloemTransport_C00037[K,c],WT_only,0.00002516
15,PhloemTransport_C00063[K,c],WT_only,0.00000251
15,PhloemTransport_C00064[K,c],WT_only,0.00039749
15,PhloemTransport_C00065[K,c],WT_only,0.02187814
15,PhloemTransport_C00075[K,c],WT_only,0.00000179
15,PhloemTransport_C00137[K,c],WT_only,0.00059245
15,R00014[K,p],WT_only,0.17172885
15,R00200[K,c],WT_only,2.11977113
15,R00206[K,c],WT_only,1.60537675
15,R00210[K,m],WT_only,0.00743661
15,R00211[K,c],WT_only,0.00360674
15,R00224[K,c],WT_only,0.00114290
15,R00239[K,c],WT_only,0.00011519
15,R00248[K,p],WT_only,0.00056492
15,R00267_mod[K,c],WT_only,0.00743661
15,R00342[K,m],WT_only,0.00743661
15,R00351[K,m],WT_only,-0.00743661
15,R00756[K,p],WT_only,0.00005782
15,R00760[K,c],WT_only,1.62923641
15,R01068[K,p],WT_only,0.00005782
15,R01324_mod[K,c],WT_only,0.00743661
15,R01385[K,c],WT_only,0.00029622
15,R01529[K,p],WT_only,0.00056522
