Reaction,WT_DAP6,O2_DAP6,WT_DAP8,O2_DAP8,WT_DAP10,O2_DAP10,WT_DAP12,O2_DAP12,WT_DAP15,O2_DAP15,WT_DAP18,O2_DAP18,WT_DAP22,O2_DAP22,WT_DAP30,O2_DAP30
PhloemTransport_C00020[K,c],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00006689,0.00006596,0.00000000,0.00000000
PhloemTransport_C00025[K,c],0.00473495,0.05558589,0.05502592,0.06143768,0.06695395,0.06345593,0.09881909,0.08895912,0.00000000,0.02267468,0.00000000,0.00000000,0.00000000,0.00013547,0.00000000,0.00000000
PhloemTransport_C00031[K,c],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
PhloemTransport_C00034[K,c],0.00000007,0.00000007,0.00000007,0.00000008,0.00000007,0.00000007,0.00000008,0.00000008,0.00000019,0.00000015,0.00000014,0.00000019,0.00000004,0.00000004,0.00000002,0.00000001
PhloemTransport_C00035[K,c],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000264,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
PhloemTransport_C00037[K,c],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00002516,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
PhloemTransport_C00038[K,c],0.00000027,0.00000026,0.00000025,0.00000029,0.00000028,0.00000028,0.00000032,0.00000030,0.00000071,0.00000059,0.00000055,0.00000071,0.00000016,0.00000016,0.00000008,0.00000003
PhloemTransport_C00041[K,c],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
PhloemTransport_C00044[K,c],0.00000000,0.00000011,0.00000093,0.00000000,0.00000000,0.00000105,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000266,0.00000000,0.00000000,0.00000000,0.00000000
PhloemTransport_C00049[K,c],0.07868096,0.13593685,0.12932216,0.15510080,0.13569973,0.14424307,0.12997476,0.12323903,0.16936718,0.16738365,0.29012046,0.20494534,0.06993328,4.05698672,0.00000000,0.01546931
PhloemTransport_C00055[K,c],0.00000161,0.00000011,0.00000000,0.00000000,0.00000182,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
PhloemTransport_C00059[K,c],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
PhloemTransport_C00063[K,c],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000251,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
PhloemTransport_C00064[K,c],0.00014856,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00039749,0.00000000,0.00000000,0.00000000,0.00008931,0.00000000,0.00004345,0.00000000
PhloemTransport_C00065[K,c],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.02187814,0.00000000,0.00000000,0.02200293,0.00491437,0.00484886,0.00239052,0.00081389
PhloemTransport_C00070[K,c],0.00000004,0.00000004,0.00000004,0.00000004,0.00000004,0.00000004,0.00000005,0.00000004,0.00000010,0.00000009,0.00000008,0.00000010,0.00000002,0.00000002,0.00000001,0.00000000
PhloemTransport_C00073[K,c],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
PhloemTransport_C00075[K,c],0.00000000,0.00000000,0.00000101,0.00000000,0.00000000,0.00000000,0.00000210,0.00000000,0.00000179,0.00000000,0.00000138,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
PhloemTransport_C00076[K,c],0.00000137,0.00000134,0.00000130,0.00000152,0.00000144,0.00000146,0.00000166,0.00000154,0.00000367,0.00000304,0.00000283,0.00000369,0.00000083,0.00000081,0.00000040,0.00000014
PhloemTransport_C00079[K,c],0.00000119,0.00000116,0.00000112,0.00000131,0.00000124,0.00000126,0.00000144,0.00000133,0.00000317,0.00000263,0.00000244,0.00000319,0.00000000,1.42449871,0.05085651,0.00000000
PhloemTransport_C00082[K,c],0.00000137,0.00000162,0.00000156,0.00000151,0.00000173,0.00000176,0.00000201,0.00000185,0.00000443,0.00000367,0.00000341,0.00000445,0.00000017,0.00000000,0.00000008,0.00000003
PhloemTransport_C00089[K,c],1000.00000000,1000.00000000,1000.00000000,1000.00000000,1000.00000000,1000.00000000,1000.00000000,1000.00000000,1000.00000000,1000.00000000,1000.00000000,1000.00000000,1000.00000000,1000.00000000,1000.00000000,1000.00000000
PhloemTransport_C00095[K,c],0.00000000,10.57622908,14.19050961,12.26243718,0.00000000,0.00000000,0.00000000,0.00000000,20.47690434,12.80720176,23.94940077,0.00000000,24.17989327,16.46278550,28.24632140,33.16576617
PhloemTransport_C00097[K,c],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000012,0.00000000,0.00000000,0.00000000,0.00000000
PhloemTransport_C00105[K,c],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.02920632,0.00000000
PhloemTransport_C00112[K,c],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000193,0.00000221,0.00000000,0.00000000,0.00000000,0.00000000
