Reaction,GSM_Match,Screen_Type,Function,Fold_Change,Has_GPR,GPR_Type,N_Genes,Gene_IDs,Pathway,GPR_Rule,Category
57,"R05700[K,m]",0.321486,,1,Yes,isozymes,7,GRMZM2G058675; GRMZM2G071021; GRMZM2G097706; GRMZM2G122172; GRMZM2G125268; GRMZM2G380438; GRMZM2G407949,Phenylpropanoid metabolism,(GRMZM2G058675 or GRMZM2G380438 or GRMZM2G407949 or GRMZM2G122172 or GRMZM2G125268 or GRMZM2G071021 or GRMZM2G097706),Screening_Target
58,"R08158[K,c]",0.321486,,1,Yes,single_gene,1,GRMZM2G007489,Fatty acid metabolism,(GRMZM2G007489),Screening_Target
"59,MR01087[K",NOT_FOUND,0.321486,,1,No,none,0,No GPR,N/A,N/A,Screening_Target
6,"PhloemTransport_C00064[K,c]",0.642972,,2,No,none,0,No GPR,N/A,N/A,Screening_Target
"60,MR01093[K",NOT_FOUND,0.321486,,1,No,none,0,No GPR,N/A,N/A,Screening_Target
61,"R07618[K,m]",0.321486,,1,Yes,isozymes,6,AC191387.3_FG009; GRMZM2G015132; GRMZM2G082664; GRMZM2G145595; GRMZM2G152958; GRMZM2G165176,"Valine, leucine and isoleucine metabolism",(AC191387.3_FG009 or GRMZM2G145595 or GRMZM2G152958 or GRMZM2G165176 or GRMZM2G015132 or GRMZM2G082664),Screening_Target
"62,R00351[K",NOT_FOUND,0.321486,,1,No,none,0,No GPR,N/A,N/A,Screening_Target
"63,R00756[K",NOT_FOUND,0.321486,,1,No,none,0,No GPR,N/A,N/A,Screening_Target
"64,R01866[K",NOT_FOUND,0.321486,,1,No,none,0,No GPR,N/A,N/A,Screening_Target
"65,R02734[K",NOT_FOUND,0.321486,,1,No,none,0,No GPR,N/A,N/A,Screening_Target
"66,PhloemTransport_C00188[K",NOT_FOUND,0.321486,,1,No,none,0,No GPR,N/A,N/A,Screening_Target
"67,MR00422[K",NOT_FOUND,0.321486,,1,No,none,0,No GPR,N/A,N/A,Screening_Target
"68,R00009[K",NOT_FOUND,0.321486,,1,No,none,0,No GPR,N/A,N/A,Screening_Target
"69,R00259[K",NOT_FOUND,0.321486,,1,No,none,0,No GPR,N/A,N/A,Screening_Target
"7,R00342[K",NOT_FOUND,0.642971,,2,No,none,0,No GPR,N/A,N/A,Screening_Target
"70,R00586[K",NOT_FOUND,0.321486,,1,No,none,0,No GPR,N/A,N/A,Screening_Target
"71,R00801[K",NOT_FOUND,0.321486,,1,No,none,0,No GPR,N/A,N/A,Screening_Target
"72,R02016[K",NOT_FOUND,0.321486,,1,No,none,0,No GPR,N/A,N/A,Screening_Target
"73,R00175[K",NOT_FOUND,0.321486,,1,No,none,0,No GPR,N/A,N/A,Screening_Target
74,"R02740[K,c]",0.321486,,1,Yes,isozymes,4,GRMZM2G065083; GRMZM2G076075; GRMZM2G140614; GRMZM6G477257,Glycolysis,(GRMZM2G140614 or GRMZM2G076075 or GRMZM2G065083 or GRMZM6G477257),Screening_Target
75,"PhloemTransport_C00075[K,c]",0.321486,,1,No,none,0,No GPR,N/A,N/A,Screening_Target
"76,R00224[K",NOT_FOUND,0.321486,,1,No,none,0,No GPR,N/A,N/A,Screening_Target
"77,R01641[K",NOT_FOUND,0.321486,,1,No,none,0,No GPR,N/A,N/A,Screening_Target
"78,R01829[K",NOT_FOUND,0.321486,,1,No,none,0,No GPR,N/A,N/A,Screening_Target
"79,R01843[K",NOT_FOUND,0.321486,,1,No,none,0,No GPR,N/A,N/A,Screening_Target
"8,MR01165[K",NOT_FOUND,0.321486,,1,No,none,0,No GPR,N/A,N/A,Screening_Target
80,"MR00803[K,c]",0.321486,,1,Yes,isozymes,35,AC233893.1_FGP003; GRMZM2G003138; GRMZM2G003190; GRMZM2G003501; GRMZM2G007757; GRMZM2G012863; GRMZM2G022558; GRMZM2G022563; GRMZM2G036411; GRMZM2G060481; GRMZM2G062718; GRMZM2G063024; GRMZM2G072205; GRMZM2G104626; GRMZM2G108894; GRMZM2G111677; GRMZM2G124335; GRMZM2G135498; GRMZM2G149636; GRMZM2G151476; GRMZM2G152105; GRMZM2G156620; GRMZM2G160417; GRMZM2G164974; GRMZM2G167438; GRMZM2G168304; GRMZM2G168956; GRMZM2G380650; GRMZM2G393897; GRMZM2G409312; GRMZM2G445602; GRMZM2G477683; GRMZM2G569948; GRMZM5G854500; GRMZM5G894016,0,(GRMZM2G003190 or GRMZM2G012863 or GRMZM2G168956 or GRMZM2G022558 or GRMZM2G111677 or GRMZM5G854500 or GRMZM2G151476 or GRMZM2G152105 or GRMZM2G104626 or AC233893.1_FGP003 or GRMZM2G036411 or GRMZM2G060481 or GRMZM2G393897 or GRMZM2G108894 or GRMZM2G072205 or GRMZM2G135498 or GRMZM2G168304 or GRMZM2G160417 or GRMZM2G156620 or GRMZM2G477683 or GRMZM2G007757 or GRMZM2G569948 or GRMZM5G894016 or GRMZM2G003501 or GRMZM2G062718 or GRMZM2G409312 or GRMZM2G022563 or GRMZM2G124335 or GRMZM2G445602 or GRMZM2G164974 or GRMZM2G149636 or GRMZM2G003138 or GRMZM2G063024 or GRMZM2G380650 or GRMZM2G167438),Screening_Target
"81,R02199[K",NOT_FOUND,0.321486,,1,No,none,0,No GPR,N/A,N/A,Screening_Target
"82,Exchange_161tPG[K",NOT_FOUND,0.321486,,1,No,none,0,No GPR,N/A,N/A,Screening_Target
83,"PhloemTransport_C00283[K,c]",0.321486,,1,No,none,0,No GPR,N/A,N/A,Screening_Target
84,"MR00684[K,p]",0.321486,,1,Yes,isozymes,35,AC233893.1_FGP003; GRMZM2G003138; GRMZM2G003190; GRMZM2G003501; GRMZM2G007757; GRMZM2G012863; GRMZM2G022558; GRMZM2G022563; GRMZM2G036411; GRMZM2G060481; GRMZM2G062718; GRMZM2G063024; GRMZM2G072205; GRMZM2G104626; GRMZM2G108894; GRMZM2G111677; GRMZM2G124335; GRMZM2G135498; GRMZM2G149636; GRMZM2G151476; GRMZM2G152105; GRMZM2G156620; GRMZM2G160417; GRMZM2G164974; GRMZM2G167438; GRMZM2G168304; GRMZM2G168956; GRMZM2G380650; GRMZM2G393897; GRMZM2G409312; GRMZM2G445602; GRMZM2G477683; GRMZM2G569948; GRMZM5G854500; GRMZM5G894016,0,(GRMZM2G003190 or GRMZM2G012863 or GRMZM2G168956 or GRMZM2G022558 or GRMZM2G111677 or GRMZM5G854500 or GRMZM2G151476 or GRMZM2G152105 or GRMZM2G104626 or AC233893.1_FGP003 or GRMZM2G036411 or GRMZM2G060481 or GRMZM2G393897 or GRMZM2G108894 or GRMZM2G072205 or GRMZM2G135498 or GRMZM2G168304 or GRMZM2G160417 or GRMZM2G156620 or GRMZM2G477683 or GRMZM2G007757 or GRMZM2G569948 or GRMZM5G894016 or GRMZM2G003501 or GRMZM2G062718 or GRMZM2G409312 or GRMZM2G022563 or GRMZM2G124335 or GRMZM2G445602 or GRMZM2G164974 or GRMZM2G149636 or GRMZM2G003138 or GRMZM2G063024 or GRMZM2G380650 or GRMZM2G167438),Screening_Target
"85,MR01285[K",NOT_FOUND,0.321486,,1,No,none,0,No GPR,N/A,N/A,Screening_Target
86,"MR00286[K,p]",0.321486,,1,Yes,isozymes,3,AC190560.2_FGP002; GRMZM2G015588; GRMZM2G095579,0,(AC190560.2_FGP002 or GRMZM2G015588 or GRMZM2G095579),Screening_Target
"87,MR01100[K",NOT_FOUND,0.321486,,1,No,none,0,No GPR,N/A,N/A,Screening_Target
"88,R01184[K",NOT_FOUND,0.321486,,1,No,none,0,No GPR,N/A,N/A,Screening_Target
"89,R01381[K",NOT_FOUND,0.321486,,1,No,none,0,No GPR,N/A,N/A,Screening_Target
